path,speaker_id,text,text_id
train\real\LibriTTS\5606\5606_54667_000017_000001_000022.wav,5606,His wife (to whom he offered nothing) looked at him all the time with the most reverential attention.,5606_54667_000017_000001
train\real\LibriTTS\335\335_125945_000021_000000_000023.wav,335,"""'My dear children,' said he, 'I have captured a Woggle Bug-a very rare and interesting specimen.",335_125945_000021_000000
train\real\LibriTTS\5266\5266_41151_000047_000000_000024.wav,5266,"""He really is a capital fellow, isn't he?"" said Stepan Arkadyevitch, when Veslovsky had gone out and the peasant had closed the door after him.",5266_41151_000047_000000
train\real\LibriTTS\207\207_122801_000015_000003_000025.wav,207,"Large blocks of stone lay there, overgrown with moss of every color; the fresh spring bubbled forth, and made a strange gurgling sound.",207_122801_000015_000003
train\real\LibriTTS\4434\4434_73958_000025_000002_000026.wav,4434,"By November they are four inches high, and seem to gain strength and sturdiness during the winter; for as soon as spring comes they shoot up with great vigour, and we know that the spray used to support them must be two feet higher than for those that are spring sown.",4434_73958_000025_000002
train\real\LibriTTS\6395\6395_87997_000006_000000_000028.wav,6395,"Though, in his own judgment, his disease was mortal and incurable, yet he allowed himself to be prevailed upon, by the entreaty of his friends, to try what might be the effects of a long journey.",6395_87997_000006_000000
train\real\LibriTTS\5570\5570_73846_000041_000002_000030.wav,5570,"Without moving he heard her go out, return, pause, and go out again.",5570_73846_000041_000002
train\real\LibriTTS\3972\3972_185074_000009_000004_000031.wav,3972,"This fatal event, however, seemed to be a stream of woe poured into my cup of afflictions, filling it even to overflowing, and blasting all my prospects.",3972_185074_000009_000004
train\real\LibriTTS\4148\4148_134149_000071_000000_000032.wav,4148,"By this time we had come up to the Gardener, who was standing on one leg, as usual, and busily employed in watering a bed of flowers with an empty watering can.",4148_134149_000071_000000
train\real\LibriTTS\4719\4719_25765_000039_000000_000033.wav,4719,"""He was desperately wounded,"" answered Calhoun, ""but he did not die, and he is now a prisoner in the hands of the Yankees.",4719_25765_000039_000000
train\real\LibriTTS\925\925_8157_000006_000003_000034.wav,925,"For generations we have had homilies on ""The Yoke of Christ""--some delighting in portraying its narrow exactions; some seeking in these exactions the marks of its divinity; others apologizing for it, and toning it down; still others assuring us that, although it be very bad, it is not to be compared with the positive blessings of Christianity.",925_8157_000006_000003
train\real\LibriTTS\7139\7139_75360_000007_000002_000038.wav,7139,"It sees even nature from the point of view of ideal interests, and measures the flux of things by ideal standards.",7139_75360_000007_000002
train\real\LibriTTS\56\56_1730_000013_000002_000039.wav,56,"And again every detail of his quarrel with his wife was present to his imagination, all the hopelessness of his position, and worst of all, his own fault.",56_1730_000013_000002
train\real\LibriTTS\3615\3615_14677_000044_000002_000040.wav,3615,"Cover and let brown a few minutes; then add two carrots and one onion sliced thin, some thyme and mace; pour over one cup of hot water.",3615_14677_000044_000002
train\real\LibriTTS\4734\4734_220952_000019_000001_000041.wav,4734,"Moreover, He brought to humanity the glad tidings of universal peace, and spread abroad teachings which were not for Israel alone but were for the general happiness of the whole human race.",4734_220952_000019_000001
train\real\LibriTTS\1165\1165_135220_000011_000003_000042.wav,1165,"I did not wish to waste my ammunition, yet I thought that an occasional shot might serve some good purpose, if it was only to afford me some relief from despair.",1165_135220_000011_000003
train\real\LibriTTS\8396\8396_240992_000008_000000_000043.wav,8396,"""Sir, if thou have borne him hence, tell me where thou hast laid him, and I will take him away.""",8396_240992_000008_000000
train\real\LibriTTS\6115\6115_58776_000005_000003_000044.wav,6115,"When these ice mountains melted away depressions were left which in some cases have resulted in lakes, and in others simply dry kettle holes.",6115_58776_000005_000003
train\real\LibriTTS\6060\6060_106611_000008_000002_000045.wav,6060,"It is impossible to avoid this evil, when faith is passed over in silence, and only the ordinances of men are taught, as has been done hitherto by the pestilent, impious, and soul destroying traditions of our pontiffs and opinions of our theologians.",6060_106611_000008_000002
train\real\LibriTTS\4438\4438_48513_000023_000000_000047.wav,4438,"So they talked on in subdued voices as people do who are in some holy place, sitting close together, looking out at the starlit sea, darkness and coolness gathering round them, and the grass smelling sweetly after the hot day, and the little waves, such a long way down, lapping lazily along the shingle, till Wemyss said it must be long past bedtime, and she, poor girl, must badly need rest.",4438_48513_000023_000000
train\real\LibriTTS\2481\2481_12731_000008_000005_000050.wav,2481,"Let them boil five minutes; then drain them out of the dye, and rinse them, without wringing, in fair water, and hang them in the shade, where they will dry.",2481_12731_000008_000005
train\real\LibriTTS\7704\7704_106969_000082_000000_000051.wav,7704,"'Too good to be spoilt by house service,' said Colonel Graham. 'His mother is a superior young woman, with a very good education, and the Platts are highly respected about here.'",7704_106969_000082_000000
train\real\LibriTTS\781\781_127518_000016_000001_000052.wav,781,"I found he was an old sailor, kept a public house, knew all the seafaring men in Bristol, had lost his health ashore, and wanted a good berth as cook to get to sea again.",781_127518_000016_000001
train\real\LibriTTS\2393\2393_144496_000091_000004_000053.wav,2393,"So she put all that sort of sentiment, once and for ever, in a grave, and filled it up, and flattened it down.'",2393_144496_000091_000004
train\real\LibriTTS\2971\2971_4275_000053_000002_000054.wav,2971,Michael realized that the image of God in nickel buttons was asking him how he had come there.,2971_4275_000053_000002
train\real\LibriTTS\318\318_124224_000030_000008_000055.wav,318,"Made straight for the corner flag, you understand,' he added, as Mr Rossiter emerged from his lair, 'and centred, and Sandy Turnbull headed a beautiful goal.",318_124224_000030_000008
train\real\LibriTTS\8138\8138_287657_000012_000000_000056.wav,8138,"james Thomas junior, a tobacco merchant, in Richmond, had Joe down in his ledger as a marketable piece of property, or a handy machine to save labor, and make money.",8138_287657_000012_000000
train\real\LibriTTS\28\28_12332_000008_000004_000057.wav,28,"He married my dear mother when I was a girl at school in Switzerland; and he proceeded to spend her little fortune, left at her sole disposal by my father's will, in paying his gambling debts.",28_12332_000008_000004
train\real\LibriTTS\7688\7688_109656_000007_000002_000059.wav,7688,"This being a business trip of some importance, and the Chapman ranch being almost a small town in population and size, Sam had decided to ""dress up"" accordingly.",7688_109656_000007_000002
train\real\LibriTTS\6567\6567_53342_000012_000003_000060.wav,6567,"As to her, she loved almost unconsciously; she scarcely inquired what was the growing passion that was absorbing every thought and feeling, or what were to be its consequences.",6567_53342_000012_000003
train\real\LibriTTS\2654\2654_158744_000019_000010_000062.wav,2654,"They were good-natured, plain, unattractive girls, who spoke of her to her face as one who could easily do anything to which she might put her hand. Lady Fawn did really love her.",2654_158744_000019_000010
train\real\LibriTTS\6694\6694_70837_000031_000000_000063.wav,6694,"An automobile came by, and I saw Gotz sitting inside, laughing apparently with great amusement.",6694_70837_000031_000000
train\real\LibriTTS\6206\6206_14958_000003_000007_000064.wav,6206,"He felt that the arrangement was good, and with him to back her she felt she could stand out against any arguments her sister might bring forth.",6206_14958_000003_000007
train\real\LibriTTS\7276\7276_90847_000019_000002_000065.wav,7276,"Scarcely had she done so, when the yellow bird burst into a joyous and golden song, and flying to the window, beat madly against the panes.",7276_90847_000019_000002
train\real\LibriTTS\1025\1025_92820_000029_000001_000066.wav,1025,"I have wealth and power and knowledge above most men, but when the clock strikes I am afraid.",1025_92820_000029_000001
train\real\LibriTTS\3630\3630_24758_000008_000003_000067.wav,3630,"When this condition of causality is either wholly or partly removed, the emotion towards peter also wholly or in part vanishes.",3630_24758_000008_000003
train\real\LibriTTS\126\126_122467_000121_000000_000068.wav,126,"The four friends, during the period of these two absences, had, as may well be supposed, the eye on the watch, the nose to the wind, and the ear on the hark.",126_122467_000121_000000
train\real\LibriTTS\1392\1392_128226_000020_000000_000069.wav,1392,"But that ""other world"" is well concealed from man, that dehumanised, inhuman world, which is a celestial naught; and the bowels of existence do not speak unto man, except as man.",1392_128226_000020_000000
train\real\LibriTTS\4586\4586_19665_000031_000003_000070.wav,4586,"It is not true that she would like it-no more true than many other things that you have said: and if you were to repeat it till night, it would make no sort of impression upon me.",4586_19665_000031_000003
train\real\LibriTTS\3482\3482_170452_000068_000001_000071.wav,3482,"It must have been written before eighteen thirty three, but how much earlier there are no means of determining.",3482_170452_000068_000001
train\real\LibriTTS\1779\1779_142733_000017_000004_000072.wav,1779,"My personal interpretation sets aside the idea of all independence of the mind, since it attributes to the mind an incomplete and, as it were, a virtual existence.",1779_142733_000017_000004
train\real\LibriTTS\7416\7416_103126_000064_000005_000073.wav,7416,"I'll pull through, I guess, and when it's all over, it will be a jolly good story to tell.""",7416_103126_000064_000005
train\real\LibriTTS\7484\7484_39971_000005_000003_000074.wav,7484,"Physically active children become restless and unruly; the more quiescent, so-called conscientious ones spend what energy they have in the negative task of keeping their instincts and active tendencies suppressed, instead of in a positive one of constructive planning and execution; they are thus educated not into responsibility for the significant and graceful use of bodily powers, but into an enforced duty not to give them free play.",7484_39971_000005_000003
train\real\LibriTTS\1448\1448_135894_000008_000001_000078.wav,1448,"The next morning, as soon as daylight appeared, and he could discern the nature of his situation, the well being broken down in several places, he saw a hole, by which he crept out with ease.",1448_135894_000008_000001
train\real\LibriTTS\1052\1052_139307_000078_000002_000079.wav,1052,There was an inkling of some vast inheritance already in his mind-a vast inheritance perhaps misapplied-of some unprecedented importance and opportunity. What had he to do?,1052_139307_000078_000002
train\real\LibriTTS\3446\3446_144019_000024_000000_000080.wav,3446,"""And God He come walk about along garden, and He sing out, 'Adam!' Adam he no speak.",3446_144019_000024_000000
train\real\LibriTTS\576\576_129623_000067_000005_000081.wav,576,"She carried in her hands a thin handkerchief, which she tore into ribbons, rolled into a ball, and flung from her.",576_129623_000067_000005
train\real\LibriTTS\154\154_123998_000011_000004_000082.wav,154,For that which makes no perceptible difference by its presence or absence is no real part of the whole.,154_123998_000011_000004
train\real\LibriTTS\511\511_131228_000051_000002_000083.wav,511,The simplest strategy seems to be-never bother to fight a thing: set its own parts fighting one another.,511_131228_000051_000002
train\real\LibriTTS\345\345_1129_000003_000000_000084.wav,345,"""May I hope, madam, for your interest with your fair daughter Elizabeth, when I solicit for the honour of a private audience with her in the course of this morning?""",345_1129_000003_000000
train\real\LibriTTS\8410\8410_278220_000025_000000_000085.wav,8410,"""You're a clever fellow, dear friend,"" he muttered, as he lighted his cigar; ""you're a stupendous fellow, dear boy; but your friend can see through less transparent blinds than this diamond business.",8410_278220_000025_000000
train\real\LibriTTS\7416\7416_103126_000035_000000_000086.wav,7416,"""Certainly ma'am,"" answered Corny, obeying at once, and inwardly resolving to deposit his fair burden on the first fallen log they came to, and make his escape.",7416_103126_000035_000000
train\real\LibriTTS\3003\3003_14274_000060_000001_000087.wav,3003,"Every time the ball would glance off from the thick skull. The wonderful mat of curly hair must break the force some, too.",3003_14274_000060_000001
train\real\LibriTTS\126\126_122467_000133_000000_000088.wav,126,"""My sister and I are skillful in interpreting dreams, and even entertain great fear of them; but of yours it may be said, I hope, every dream is an illusion.",126_122467_000133_000000
train\real\LibriTTS\7395\7395_89882_000022_000000_000089.wav,7395,"""And we have also learnt that the poison of the Pelagian heresy again springs up among you; we, therefore, exhort you, that you put away from your thoughts all such venomous and superstitious wickedness.",7395_89882_000022_000000
train\real\LibriTTS\4848\4848_28247_000003_000001_000090.wav,4848,"Nothing, however, was allowed to divert them from their ostensible object of making a survey of the coast of the Mediterranean, and accordingly they persevered in following that singular boundary which had revealed itself to their extreme astonishment.",4848_28247_000003_000001
train\real\LibriTTS\8097\8097_114971_000004_000000_000092.wav,8097,"On an evening of singular sunset, about the rich beginning of May, the little market town of Beethorpe was startled by the sound of a trumpet.",8097_114971_000004_000000
train\real\LibriTTS\3380\3380_64300_000039_000000_000094.wav,3380,"Old mr Duppa died, and a young man came to minister to his congregation who thought the baptism of the spirit of more importance than the most correct of opinions concerning even the baptizing spirit. From him Mary found she could learn, and would be much to blame if she did not learn.",3380_64300_000039_000000
train\real\LibriTTS\5655\5655_46268_000028_000000_000096.wav,5655,"""A child of the slums!"" Malcolm and Keith repeated the expression afterward, with only a vague idea of its meaning.",5655_46268_000028_000000
train\real\LibriTTS\580\580_126945_000010_000006_000097.wav,580,And there are many other points in which a likeness might be shown between the life of the Hellenic world of old and the barbarian of to day.,580_126945_000010_000006
train\real\LibriTTS\3945\3945_29110_000041_000001_000098.wav,3945,"A corner of it touched the railroad, but the rest was pretty much an unbroken wilderness, eight or ten thousand acres of rough country, most of it such a mountain range as he saw at Ilium.",3945_29110_000041_000001
train\real\LibriTTS\369\369_125882_000020_000001_000099.wav,369,"The sailors were all saved, but the ship went right to the bottom of the sea, and the same Terrible Shark that swallowed me, swallowed most of it.""",369_125882_000020_000001
train\real\LibriTTS\1639\1639_133290_000028_000004_000100.wav,1639,The Americans frequently term what we should call cupidity a laudable industry; and they blame as faint heartedness what we consider to be the virtue of moderate desires.,1639_133290_000028_000004
train\real\LibriTTS\7434\7434_75939_000001_000000_000101.wav,7434,"Monsieur entered the room abruptly, as persons do who mean well and think they confer pleasure, or as those who hope to surprise some secret, the terrible reward of jealous people.",7434_75939_000001_000000
train\real\LibriTTS\8758\8758_291168_000013_000002_000102.wav,8758,"Sometimes, in taking a walk through the wood, you would find yourself suddenly sprawling on all fours, having trampled on one of Gibbey's salmon.",8758_291168_000013_000002
train\real\LibriTTS\949\949_162667_000017_000007_000103.wav,949,"Attila, having entered Italy, laid siege to Aquileia, where he remained without any obstacle for two years, wasting the country round, and dispersing the inhabitants.",949_162667_000017_000007
train\real\LibriTTS\511\511_131226_000004_000000_000104.wav,511,"In the autumn of eighteen eighty three, and for years afterward, occurred brilliant colored sunsets, such as had never been seen before within the memory of all observers.",511_131226_000004_000000
train\real\LibriTTS\6937\6937_112761_000057_000000_000105.wav,6937,"The king was coming back victorious over his enemies, and on his way home had first heard of the sudden disappearance of his children and of the queen, and how his palace was tenanted only by a basilisk with a death dealing glance.",6937_112761_000057_000000
train\real\LibriTTS\6099\6099_69550_000021_000002_000107.wav,6099,"She might be turned into a lizard or a snake, just as the old lodge keeper had said.",6099_69550_000021_000002
train\real\LibriTTS\1731\1731_142320_000070_000003_000108.wav,1731,"But if you must go on preaching, keep it till after dinner, when it will send me to sleep, and help my digestion.'",1731_142320_000070_000003
train\real\LibriTTS\2240\2240_148529_000002_000001_000109.wav,2240,"When men have once allowed themselves to think no more of what is to befall them after life, they readily lapse into that complete and brutal indifference to futurity, which is but too conformable to some propensities of mankind.",2240_148529_000002_000001
train\real\LibriTTS\8183\8183_118119_000005_000000_000111.wav,8183,"The Committee's interview with Samuel was quite satisfactory, and they cheerfully accorded to him brotherly kindness and material aid at the same time.",8183_118119_000005_000000
train\real\LibriTTS\9026\9026_282385_000003_000001_000112.wav,9026,"The ordinary wage was ten dollars a day, and men who could be trusted, and who were brave enough to pack the gold out to the coast, received twenty and even as high as fifty dollars a day.",9026_282385_000003_000001
train\real\LibriTTS\3307\3307_145138_000012_000002_000114.wav,3307,"When all is said, the scientific term is composed of a misconception and a worthless epithet.",3307_145138_000012_000002
train\real\LibriTTS\984\984_137141_000026_000002_000115.wav,984,They are not intended to discuss the very fascinating but quite different question of what is the present seat of authority for the proclamation of that creed.,984_137141_000026_000002
train\real\LibriTTS\28\28_12332_000130_000003_000116.wav,28,I had not told Lady Georgina of his vain attempt to take possession of her jewel case; and the bare fact of my silence made him increasingly suspicious of me.,28_12332_000130_000003
train\real\LibriTTS\8118\8118_114469_000024_000003_000117.wav,8118,"The river swished high against its banks and once or twice, when he caught dim glimpses of it through the trees, he saw a yellow torrent bearing much brushwood upon its bosom.",8118_114469_000024_000003
train\real\LibriTTS\209\209_4731_000006_000003_000118.wav,209,"She was a plain, motherly kind of woman, who had worked hard in her youth, and now thought herself entitled to the occasional holiday of a tea visit; and having formerly owed much to mr Woodhouse's kindness, felt his particular claim on her to leave her neat parlour, hung round with fancy work, whenever she could, and win or lose a few sixpences by his fireside.",209_4731_000006_000003
train\real\LibriTTS\6927\6927_86045_000045_000000_000121.wav,6927,"'I have kept my most precious treasure till the last,' said the old woman; 'but let me go first, for the stairs are steep, and you might easily break your leg.' So on she went, now and then calling back to the young man in the darkness.",6927_86045_000045_000000
train\real\LibriTTS\1121\1121_176698_000035_000000_000123.wav,1121,"Very slowly, for her, Anthea climbed down from the high dog cart, aiding Small Porges to earth, and with his hand clasped tight in hers, and with lips set firm, she turned and entered the hall.",1121_176698_000035_000000
train\real\LibriTTS\1165\1165_135216_000028_000003_000125.wav,1165,"The excitement grew intense; the betting changed its form, but was still kept up, until at last the two paper boats seemed blended together in one dim spot which gradually faded out of sight.",1165_135216_000028_000003
train\real\LibriTTS\7720\7720_105168_000043_000000_000126.wav,7720,"The aviator dug his toe into the ground and still looking down, blurted something which he evidently hated to say.",7720_105168_000043_000000
train\real\LibriTTS\7090\7090_91801_000048_000000_000127.wav,7090,"Before this fire of sense decay, This smoke of thought blow clean away, And leave with ancient night alone The stedfast and enduring bone.",7090_91801_000048_000000
train\real\LibriTTS\781\781_127518_000050_000003_000129.wav,781,"It was the tallow faced man, wanting two fingers, who had come first to the Admiral Benbow.",781_127518_000050_000003
train\real\LibriTTS\7982\7982_245691_000025_000003_000130.wav,7982,"Wherefore in God alone is His intellect His essence: while in other intellectual creatures, the intellect is a power.",7982_245691_000025_000003
train\real\LibriTTS\7481\7481_101276_000010_000000_000131.wav,7481,'Are you Hannah the herb seller?' she asked in a croaky voice as her head shook to and fro.,7481_101276_000010_000000
train\real\LibriTTS\8713\8713_296159_000007_000005_000132.wav,8713,"Her whole person, which at first sight had impressed him with its emphatic individuality, now struck him as characterless and conventional.",8713_296159_000007_000005
train\real\LibriTTS\5389\5389_4861_000019_000003_000133.wav,5389,"He has been expecting you for ages, but you need have no fear if you will only follow my advice.",5389_4861_000019_000003
train\real\LibriTTS\2992\2992_164100_000014_000000_000134.wav,2992,"We hid our new weapons beneath the skins which formed our beds, and then Perry conceived the idea of making bows and arrows-weapons apparently unknown within Pellucidar.",2992_164100_000014_000000
train\real\LibriTTS\454\454_134728_000048_000002_000135.wav,454,what Sirius'? what Capella's? What central heart-and you the pulse-vivifies all?,454_134728_000048_000002
train\real\LibriTTS\5740\5740_97593_000067_000000_000136.wav,5740,"""Why, it's my old crazy quilt, but it isn't crazy now!"" cried Aunt Hannah, and her very spectacles seemed to glisten with amazement.",5740_97593_000067_000000
train\real\LibriTTS\6637\6637_69607_000063_000002_000137.wav,6637,The age in him held out secret hands to the age in her-as against encroaching and rebellious youth.,6637_69607_000063_000002
train\real\LibriTTS\1401\1401_174511_000012_000006_000138.wav,1401,"Therefore her girls usually found as much fault as other boarding school girls are prone to do, and with somewhat more reason.",1401_174511_000012_000006
train\real\LibriTTS\835\835_130876_000119_000001_000139.wav,835,"In ten minutes the tide would reach its maximum elevation, and if Captain Nemo hadn't made a rash promise, the Nautilus would immediately break free.",835_130876_000119_000001
train\real\LibriTTS\7276\7276_90847_000008_000002_000140.wav,7276,"One spring morning a little yellow bird flew into the cedar grove, and gave the dwarf a letter which it held in its beak.",7276_90847_000008_000002
train\real\LibriTTS\3118\3118_5911_000011_000001_000141.wav,3118,"By metaphysical reasonings, they do not understand those on any particular branch of science, but every kind of argument, which is any way abstruse, and requires some attention to be comprehended.",3118_5911_000011_000001
train\real\LibriTTS\3483\3483_174132_000020_000003_000143.wav,3483,"Further off, the sun, a splash of white flame, burned vividly against the dark.",3483_174132_000020_000003
train\real\LibriTTS\3185\3185_163505_000051_000000_000144.wav,3185,"The old dame said she would sham sick, and say she could never be herself again unless she tasted those apples; for she had set her heart on them.",3185_163505_000051_000000
train\real\LibriTTS\6139\6139_58869_000042_000005_000145.wav,6139,"I shall be there a whole month, and she knew my mamma and was her dearest friend.",6139_58869_000042_000005
train\real\LibriTTS\1705\1705_142318_000007_000005_000146.wav,1705,"And she felt that it was almost ungrateful in her to have a secret feeling that the Helstone vicarage-nay, even the poor little house at Milton, with her anxious father and her invalid mother, and all the small household cares of comparative poverty, composed her idea of home.",1705_142318_000007_000005
train\real\LibriTTS\7868\7868_110705_000028_000000_000148.wav,7868,"""Oh!"" cried poor Gluck, running to look up the chimney after him; ""oh dear, dear, dear me!",7868_110705_000028_000000
train\real\LibriTTS\8879\8879_300234_000009_000006_000149.wav,8879,"When the traders offered soap to the squaws, the women at once began to devour it.",8879_300234_000009_000006
train\real\LibriTTS\7416\7416_103126_000014_000002_000150.wav,7416,"Mother won't let me go off far enough, so of course I don't do it, and then you all jeer at me.",7416_103126_000014_000002
train\real\LibriTTS\7926\7926_254949_000009_000006_000151.wav,7926,"Was he thoroughly convinced himself, or did he not yield to the illusions of a mind eager for glory?",7926_254949_000009_000006
train\real\LibriTTS\3157\3157_68361_000023_000000_000152.wav,3157,One reason why the people of this country have no ambition to lay up for the future or even get large herds of cattle has been because of the numerous revolutions of the past.,3157_68361_000023_000000
train\real\LibriTTS\5909\5909_111961_000081_000000_000153.wav,5909,"Just after breakfast, to which the camp had sat down at break of day, the horse hunters began their preliminary work.",5909_111961_000081_000000
train\real\LibriTTS\7789\7789_103120_000070_000003_000154.wav,7789,"Onawandah cooked birds for her to eat, and made a pleasant drink of the wild raspberry leaves to quench her thirst.",7789_103120_000070_000003
train\real\LibriTTS\242\242_122625_000017_000005_000155.wav,242,"Finally, I have alluded to mr Thackeray, because to him-if he will accept the tribute of a total stranger-I have dedicated this second edition of ""JANE EYRE.""",242_122625_000017_000005
train\real\LibriTTS\7688\7688_112187_000021_000000_000156.wav,7688,"""'Jeff,' says Andy after a long time, 'quite unseldom I have seen fit to impugn your molars when you have been chewing the rag with me about your conscientious way of doing business.",7688_112187_000021_000000
train\real\LibriTTS\5007\5007_31603_000004_000003_000158.wav,5007,"An associated Press reporter saw three of these thieves shot and fatally wounded, and doubtless others of them were similarly dealt with elsewhere.",5007_31603_000004_000003
train\real\LibriTTS\2758\2758_86039_000008_000000_000159.wav,2758,"So, about the time that she expected her husband home from work, she got out her spinning wheel, and sat busily turning it, taking care not even to look up from her work when the man came in.",2758_86039_000008_000000
train\real\LibriTTS\3967\3967_29012_000003_000010_000160.wav,3967,"When I expressed my surprise that he should have bandied about anything so precious (I happen to know it's his only copy-in the most beautiful hand in all the world) Lady Augusta confessed to me that she hadn't had it from himself, but from mrs Wimbush, who had wished to give her a glimpse of it as a salve for her not being able to stay and hear it read.",3967_29012_000003_000010
train\real\LibriTTS\100\100_121669_000027_000000_000163.wav,100,It was not long before the piper had the pig killed and cut into pieces and boiling in the pot.,100_121669_000027_000000
train\real\LibriTTS\7030\7030_64588_000017_000003_000164.wav,7030,"A rudder (a novel idea to our red skinned companions), and a box of sand in the stern of one of the boats for a fire place, completed our rig.",7030_64588_000017_000003
train\real\LibriTTS\207\207_131203_000007_000000_000165.wav,207,"I won't vouch for what the old horse was thinking, for it is very difficult to find out what any old horse is thinking.",207_131203_000007_000000
train\real\LibriTTS\8183\8183_118119_000002_000001_000166.wav,8183,"For the last four years previous to escaping, he had been under the yoke of dr George Wilson.",8183_118119_000002_000001
train\real\LibriTTS\4837\4837_302000_000002_000007_000167.wav,4837,Her friends knew that her retirement on this occasion was timed to finish on the morning of her reception and had not the least misgiving that her doors would still be closed.,4837_302000_000002_000007
train\real\LibriTTS\6510\6510_62558_000086_000002_000168.wav,6510,"Cyrus Harding expected to find it in its place; supposing that the convicts would have crossed it, and that, after having passed one of the streams which enclosed the plateau, they would have taken the precaution to lower it again, so as to keep open a retreat.",6510_62558_000086_000002
train\real\LibriTTS\1265\1265_135636_000080_000004_000170.wav,1265,"Hot blood, hot blood.' And the little man took a warning pinch, and shook his head doubtfully.",1265_135636_000080_000004
train\real\LibriTTS\5401\5401_39508_000003_000001_000171.wav,5401,"These processes are known as METAMORPHISM, and the rocks affected, whether originally sedimentary or igneous, are called METAMORPHIC ROCKS.",5401_39508_000003_000001
train\real\LibriTTS\5935\5935_55927_000025_000002_000172.wav,5935,"The principle of the miner's tool known as the ""sand auger"" may prove itself very useful in this connection.",5935_55927_000025_000002
train\real\LibriTTS\5093\5093_29101_000017_000000_000173.wav,5093,"""Still,"" replied the Senator, ""granting that he might injure himself in a worldly point of view, his elevation through education would multiply his chances for the hereafter-which is the important thing after all, Colonel.",5093_29101_000017_000000
train\real\LibriTTS\7688\7688_112187_000041_000001_000174.wav,7688,"'No, I don't want it,' says i 'Lay it on the table and you sit in that chair till it ticks off an hour.",7688_112187_000041_000001
train\real\LibriTTS\3728\3728_105386_000002_000001_000175.wav,3728,"She heaved a deep sigh, like one who had long been oppressed with the heavy weight of constant self control, and she allowed a few tears to fall unheeded down her cheeks.",3728_105386_000002_000001
