path,label,speaker_id,fake_level,duration,source_dataset,audio_base_id
train\real\LibriTTS\207\207_122801_000015_000003_000025.wav,real,207,0,8.222,LibriTTS,207_122801_000015_000003
train\real\LibriTTS\4434\4434_73958_000025_000002_000026.wav,real,4434,0,5.169,LibriTTS,4434_73958_000025_000002
train\real\LibriTTS\4434\4434_73958_000025_000002_000027.wav,real,4434,0,6.52,LibriTTS,4434_73958_000025_000002
train\real\LibriTTS\6395\6395_87997_000006_000000_000028.wav,real,6395,0,6.952,LibriTTS,6395_87997_000006_000000
train\real\LibriTTS\6395\6395_87997_000006_000000_000029.wav,real,6395,0,5.638,LibriTTS,6395_87997_000006_000000
train\real\LibriTTS\5570\5570_73846_000041_000002_000030.wav,real,5570,0,5.074,LibriTTS,5570_73846_000041_000002
train\real\LibriTTS\3972\3972_185074_000009_000004_000031.wav,real,3972,0,8.538,LibriTTS,3972_185074_000009_000004
train\real\LibriTTS\4148\4148_134149_000071_000000_000032.wav,real,4148,0,7.708,LibriTTS,4148_134149_000071_000000
train\real\LibriTTS\4719\4719_25765_000039_000000_000033.wav,real,4719,0,5.389,LibriTTS,4719_25765_000039_000000
train\real\LibriTTS\925\925_8157_000006_000003_000034.wav,real,925,0,7.623,LibriTTS,925_8157_000006_000003
train\real\LibriTTS\925\925_8157_000006_000003_000035.wav,real,925,0,5.543,LibriTTS,925_8157_000006_000003
train\real\LibriTTS\925\925_8157_000006_000003_000036.wav,real,925,0,5.29,LibriTTS,925_8157_000006_000003
train\real\LibriTTS\925\925_8157_000006_000003_000037.wav,real,925,0,6.276,LibriTTS,925_8157_000006_000003
train\real\LibriTTS\7139\7139_75360_000007_000002_000038.wav,real,7139,0,6.744,LibriTTS,7139_75360_000007_000002
train\real\LibriTTS\56\56_1730_000013_000002_000039.wav,real,56,0,6.655,LibriTTS,56_1730_000013_000002
train\real\LibriTTS\3615\3615_14677_000044_000002_000040.wav,real,3615,0,8.772,LibriTTS,3615_14677_000044_000002
train\real\LibriTTS\4734\4734_220952_000019_000001_000041.wav,real,4734,0,9.198,LibriTTS,4734_220952_000019_000001
train\real\LibriTTS\1165\1165_135220_000011_000003_000042.wav,real,1165,0,5.289,LibriTTS,1165_135220_000011_000003
train\real\LibriTTS\8396\8396_240992_000008_000000_000043.wav,real,8396,0,5.098,LibriTTS,8396_240992_000008_000000
train\real\LibriTTS\6115\6115_58776_000005_000003_000044.wav,real,6115,0,7.496,LibriTTS,6115_58776_000005_000003
train\real\LibriTTS\6060\6060_106611_000008_000002_000045.wav,real,6060,0,6.719,LibriTTS,6060_106611_000008_000002
train\real\LibriTTS\6060\6060_106611_000008_000002_000046.wav,real,6060,0,5.485,LibriTTS,6060_106611_000008_000002
train\real\LibriTTS\4438\4438_48513_000023_000000_000047.wav,real,4438,0,9.43,LibriTTS,4438_48513_000023_000000
train\real\LibriTTS\4438\4438_48513_000023_000000_000048.wav,real,4438,0,6.605,LibriTTS,4438_48513_000023_000000
train\real\LibriTTS\4438\4438_48513_000023_000000_000049.wav,real,4438,0,7.502,LibriTTS,4438_48513_000023_000000
train\real\LibriTTS\2481\2481_12731_000008_000005_000050.wav,real,2481,0,7.895,LibriTTS,2481_12731_000008_000005
train\real\LibriTTS\7704\7704_106969_000082_000000_000051.wav,real,7704,0,5.202,LibriTTS,7704_106969_000082_000000
train\real\LibriTTS\781\781_127518_000016_000001_000052.wav,real,781,0,9.277,LibriTTS,781_127518_000016_000001
train\real\LibriTTS\2393\2393_144496_000091_000004_000053.wav,real,2393,0,5.615,LibriTTS,2393_144496_000091_000004
train\real\LibriTTS\2971\2971_4275_000053_000002_000054.wav,real,2971,0,5.125,LibriTTS,2971_4275_000053_000002
train\real\LibriTTS\318\318_124224_000030_000008_000055.wav,real,318,0,7.011,LibriTTS,318_124224_000030_000008
train\real\LibriTTS\8138\8138_287657_000012_000000_000056.wav,real,8138,0,8.108,LibriTTS,8138_287657_000012_000000
train\real\LibriTTS\28\28_12332_000008_000004_000057.wav,real,28,0,5.224,LibriTTS,28_12332_000008_000004
train\real\LibriTTS\28\28_12332_000008_000004_000058.wav,real,28,0,5.857,LibriTTS,28_12332_000008_000004
train\real\LibriTTS\7688\7688_109656_000007_000002_000059.wav,real,7688,0,6.825,LibriTTS,7688_109656_000007_000002
train\real\LibriTTS\6567\6567_53342_000012_000003_000060.wav,real,6567,0,6.763,LibriTTS,6567_53342_000012_000003
train\real\LibriTTS\6567\6567_53342_000012_000003_000061.wav,real,6567,0,7.989,LibriTTS,6567_53342_000012_000003
train\real\LibriTTS\2654\2654_158744_000019_000010_000062.wav,real,2654,0,6.62,LibriTTS,2654_158744_000019_000010
train\real\LibriTTS\6694\6694_70837_000031_000000_000063.wav,real,6694,0,5.225,LibriTTS,6694_70837_000031_000000
train\real\LibriTTS\6206\6206_14958_000003_000007_000064.wav,real,6206,0,6.055,LibriTTS,6206_14958_000003_000007
train\real\LibriTTS\7276\7276_90847_000019_000002_000065.wav,real,7276,0,9.404,LibriTTS,7276_90847_000019_000002
train\real\LibriTTS\1025\1025_92820_000029_000001_000066.wav,real,1025,0,5.054,LibriTTS,1025_92820_000029_000001
train\real\LibriTTS\3630\3630_24758_000008_000003_000067.wav,real,3630,0,5.353,LibriTTS,3630_24758_000008_000003
train\real\LibriTTS\126\126_122467_000121_000000_000068.wav,real,126,0,6.605,LibriTTS,126_122467_000121_000000
train\real\LibriTTS\1392\1392_128226_000020_000000_000069.wav,real,1392,0,9.567,LibriTTS,1392_128226_000020_000000
train\real\LibriTTS\4586\4586_19665_000031_000003_000070.wav,real,4586,0,9.224,LibriTTS,4586_19665_000031_000003
train\real\LibriTTS\3482\3482_170452_000068_000001_000071.wav,real,3482,0,5.407,LibriTTS,3482_170452_000068_000001
train\real\LibriTTS\1779\1779_142733_000017_000004_000072.wav,real,1779,0,9.045,LibriTTS,1779_142733_000017_000004
train\real\LibriTTS\7416\7416_103126_000064_000005_000073.wav,real,7416,0,5.008,LibriTTS,7416_103126_000064_000005
train\real\LibriTTS\7484\7484_39971_000005_000003_000074.wav,real,7484,0,7.254,LibriTTS,7484_39971_000005_000003
train\real\LibriTTS\7484\7484_39971_000005_000003_000075.wav,real,7484,0,8.496,LibriTTS,7484_39971_000005_000003
train\real\LibriTTS\7484\7484_39971_000005_000003_000076.wav,real,7484,0,6.39,LibriTTS,7484_39971_000005_000003
train\real\LibriTTS\7484\7484_39971_000005_000003_000077.wav,real,7484,0,7.773,LibriTTS,7484_39971_000005_000003
train\real\LibriTTS\1448\1448_135894_000008_000001_000078.wav,real,1448,0,7.449,LibriTTS,1448_135894_000008_000001
train\real\LibriTTS\1052\1052_139307_000078_000002_000079.wav,real,1052,0,6.357,LibriTTS,1052_139307_000078_000002
train\real\LibriTTS\3446\3446_144019_000024_000000_000080.wav,real,3446,0,5.7,LibriTTS,3446_144019_000024_000000
train\real\LibriTTS\576\576_129623_000067_000005_000081.wav,real,576,0,5.522,LibriTTS,576_129623_000067_000005
train\real\LibriTTS\154\154_123998_000011_000004_000082.wav,real,154,0,6.328,LibriTTS,154_123998_000011_000004
train\real\LibriTTS\511\511_131228_000051_000002_000083.wav,real,511,0,7.02,LibriTTS,511_131228_000051_000002
train\real\LibriTTS\345\345_1129_000003_000000_000084.wav,real,345,0,8.112,LibriTTS,345_1129_000003_000000
train\real\LibriTTS\8410\8410_278220_000025_000000_000085.wav,real,8410,0,6.561,LibriTTS,8410_278220_000025_000000
train\real\LibriTTS\7416\7416_103126_000035_000000_000086.wav,real,7416,0,8.514,LibriTTS,7416_103126_000035_000000
train\real\LibriTTS\3003\3003_14274_000060_000001_000087.wav,real,3003,0,5.587,LibriTTS,3003_14274_000060_000001
train\real\LibriTTS\126\126_122467_000133_000000_000088.wav,real,126,0,6.439,LibriTTS,126_122467_000133_000000
train\real\LibriTTS\7395\7395_89882_000022_000000_000089.wav,real,7395,0,8.723,LibriTTS,7395_89882_000022_000000
train\real\LibriTTS\4848\4848_28247_000003_000001_000090.wav,real,4848,0,7.127,LibriTTS,4848_28247_000003_000001
train\real\LibriTTS\4848\4848_28247_000003_000001_000091.wav,real,4848,0,8.641,LibriTTS,4848_28247_000003_000001
train\real\LibriTTS\8097\8097_114971_000004_000000_000092.wav,real,8097,0,5.107,LibriTTS,8097_114971_000004_000000
train\real\LibriTTS\8097\8097_114971_000004_000000_000093.wav,real,8097,0,5.128,LibriTTS,8097_114971_000004_000000
train\real\LibriTTS\3380\3380_64300_000039_000000_000094.wav,real,3380,0,6.732,LibriTTS,3380_64300_000039_000000
train\real\LibriTTS\3380\3380_64300_000039_000000_000095.wav,real,3380,0,7.288,LibriTTS,3380_64300_000039_000000
train\real\LibriTTS\5655\5655_46268_000028_000000_000096.wav,real,5655,0,6.108,LibriTTS,5655_46268_000028_000000
train\real\LibriTTS\580\580_126945_000010_000006_000097.wav,real,580,0,5.579,LibriTTS,580_126945_000010_000006
train\real\LibriTTS\3945\3945_29110_000041_000001_000098.wav,real,3945,0,6.159,LibriTTS,3945_29110_000041_000001
train\real\LibriTTS\369\369_125882_000020_000001_000099.wav,real,369,0,6.765,LibriTTS,369_125882_000020_000001
train\real\LibriTTS\1639\1639_133290_000028_000004_000100.wav,real,1639,0,7.649,LibriTTS,1639_133290_000028_000004
train\real\LibriTTS\7434\7434_75939_000001_000000_000101.wav,real,7434,0,9.113,LibriTTS,7434_75939_000001_000000
train\real\LibriTTS\8758\8758_291168_000013_000002_000102.wav,real,8758,0,6.117,LibriTTS,8758_291168_000013_000002
train\real\LibriTTS\949\949_162667_000017_000007_000103.wav,real,949,0,8.608,LibriTTS,949_162667_000017_000007
train\real\LibriTTS\511\511_131226_000004_000000_000104.wav,real,511,0,7.05,LibriTTS,511_131226_000004_000000
train\real\LibriTTS\6937\6937_112761_000057_000000_000105.wav,real,6937,0,6.282,LibriTTS,6937_112761_000057_000000
train\real\LibriTTS\6937\6937_112761_000057_000000_000106.wav,real,6937,0,7.353,LibriTTS,6937_112761_000057_000000
train\real\LibriTTS\6099\6099_69550_000021_000002_000107.wav,real,6099,0,6.345,LibriTTS,6099_69550_000021_000002
train\real\LibriTTS\1731\1731_142320_000070_000003_000108.wav,real,1731,0,5.069,LibriTTS,1731_142320_000070_000003
train\real\LibriTTS\2240\2240_148529_000002_000001_000109.wav,real,2240,0,6.577,LibriTTS,2240_148529_000002_000001
train\real\LibriTTS\2240\2240_148529_000002_000001_000110.wav,real,2240,0,6.195,LibriTTS,2240_148529_000002_000001
train\real\LibriTTS\8183\8183_118119_000005_000000_000111.wav,real,8183,0,5.248,LibriTTS,8183_118119_000005_000000
train\real\LibriTTS\9026\9026_282385_000003_000001_000112.wav,real,9026,0,5.311,LibriTTS,9026_282385_000003_000001
train\real\LibriTTS\9026\9026_282385_000003_000001_000113.wav,real,9026,0,5.002,LibriTTS,9026_282385_000003_000001
train\real\LibriTTS\3307\3307_145138_000012_000002_000114.wav,real,3307,0,5.003,LibriTTS,3307_145138_000012_000002
train\real\LibriTTS\984\984_137141_000026_000002_000115.wav,real,984,0,7.637,LibriTTS,984_137141_000026_000002
train\real\LibriTTS\28\28_12332_000130_000003_000116.wav,real,28,0,6.902,LibriTTS,28_12332_000130_000003
train\real\LibriTTS\8118\8118_114469_000024_000003_000117.wav,real,8118,0,5.447,LibriTTS,8118_114469_000024_000003
train\real\LibriTTS\209\209_4731_000006_000003_000118.wav,real,209,0,6.529,LibriTTS,209_4731_000006_000003
train\real\LibriTTS\209\209_4731_000006_000003_000119.wav,real,209,0,6.079,LibriTTS,209_4731_000006_000003
train\real\LibriTTS\209\209_4731_000006_000003_000120.wav,real,209,0,8.322,LibriTTS,209_4731_000006_000003
train\real\LibriTTS\6927\6927_86045_000045_000000_000121.wav,real,6927,0,9.52,LibriTTS,6927_86045_000045_000000
train\real\LibriTTS\6927\6927_86045_000045_000000_000122.wav,real,6927,0,6.262,LibriTTS,6927_86045_000045_000000
train\real\LibriTTS\1121\1121_176698_000035_000000_000123.wav,real,1121,0,5.868,LibriTTS,1121_176698_000035_000000
train\real\LibriTTS\1121\1121_176698_000035_000000_000124.wav,real,1121,0,5.603,LibriTTS,1121_176698_000035_000000
train\real\LibriTTS\1165\1165_135216_000028_000003_000125.wav,real,1165,0,6.347,LibriTTS,1165_135216_000028_000003
train\real\LibriTTS\7720\7720_105168_000043_000000_000126.wav,real,7720,0,5.226,LibriTTS,7720_105168_000043_000000
train\real\LibriTTS\7090\7090_91801_000048_000000_000127.wav,real,7090,0,5.925,LibriTTS,7090_91801_000048_000000
train\real\LibriTTS\7090\7090_91801_000048_000000_000128.wav,real,7090,0,5.743,LibriTTS,7090_91801_000048_000000
train\real\LibriTTS\781\781_127518_000050_000003_000129.wav,real,781,0,5.966,LibriTTS,781_127518_000050_000003
train\real\LibriTTS\7982\7982_245691_000025_000003_000130.wav,real,7982,0,9.631,LibriTTS,7982_245691_000025_000003
train\real\LibriTTS\7481\7481_101276_000010_000000_000131.wav,real,7481,0,5.634,LibriTTS,7481_101276_000010_000000
train\real\LibriTTS\8713\8713_296159_000007_000005_000132.wav,real,8713,0,5.13,LibriTTS,8713_296159_000007_000005
train\real\LibriTTS\5389\5389_4861_000019_000003_000133.wav,real,5389,0,6.511,LibriTTS,5389_4861_000019_000003
train\real\LibriTTS\2992\2992_164100_000014_000000_000134.wav,real,2992,0,6.358,LibriTTS,2992_164100_000014_000000
train\real\LibriTTS\454\454_134728_000048_000002_000135.wav,real,454,0,7.201,LibriTTS,454_134728_000048_000002
train\real\LibriTTS\5740\5740_97593_000067_000000_000136.wav,real,5740,0,7.054,LibriTTS,5740_97593_000067_000000
train\real\LibriTTS\6637\6637_69607_000063_000002_000137.wav,real,6637,0,5.678,LibriTTS,6637_69607_000063_000002
train\real\LibriTTS\1401\1401_174511_000012_000006_000138.wav,real,1401,0,5.839,LibriTTS,1401_174511_000012_000006
train\real\LibriTTS\835\835_130876_000119_000001_000139.wav,real,835,0,7.571,LibriTTS,835_130876_000119_000001
train\real\LibriTTS\7276\7276_90847_000008_000002_000140.wav,real,7276,0,6.489,LibriTTS,7276_90847_000008_000002
train\real\LibriTTS\3118\3118_5911_000011_000001_000141.wav,real,3118,0,6.194,LibriTTS,3118_5911_000011_000001
train\real\LibriTTS\3118\3118_5911_000011_000001_000142.wav,real,3118,0,5.555,LibriTTS,3118_5911_000011_000001
train\real\LibriTTS\3483\3483_174132_000020_000003_000143.wav,real,3483,0,5.109,LibriTTS,3483_174132_000020_000003
train\real\LibriTTS\3185\3185_163505_000051_000000_000144.wav,real,3185,0,7.411,LibriTTS,3185_163505_000051_000000
train\real\LibriTTS\6139\6139_58869_000042_000005_000145.wav,real,6139,0,5.187,LibriTTS,6139_58869_000042_000005
train\real\LibriTTS\1705\1705_142318_000007_000005_000146.wav,real,1705,0,8.278,LibriTTS,1705_142318_000007_000005
train\real\LibriTTS\1705\1705_142318_000007_000005_000147.wav,real,1705,0,5.062,LibriTTS,1705_142318_000007_000005
train\real\LibriTTS\7868\7868_110705_000028_000000_000148.wav,real,7868,0,5.045,LibriTTS,7868_110705_000028_000000
train\real\LibriTTS\8879\8879_300234_000009_000006_000149.wav,real,8879,0,5.045,LibriTTS,8879_300234_000009_000006
train\real\LibriTTS\7416\7416_103126_000014_000002_000150.wav,real,7416,0,5.032,LibriTTS,7416_103126_000014_000002
train\real\LibriTTS\7926\7926_254949_000009_000006_000151.wav,real,7926,0,5.683,LibriTTS,7926_254949_000009_000006
train\real\LibriTTS\3157\3157_68361_000023_000000_000152.wav,real,3157,0,9.449,LibriTTS,3157_68361_000023_000000
train\real\LibriTTS\5909\5909_111961_000081_000000_000153.wav,real,5909,0,5.563,LibriTTS,5909_111961_000081_000000
train\real\LibriTTS\7789\7789_103120_000070_000003_000154.wav,real,7789,0,5.254,LibriTTS,7789_103120_000070_000003
train\real\LibriTTS\242\242_122625_000017_000005_000155.wav,real,242,0,8.561,LibriTTS,242_122625_000017_000005
train\real\LibriTTS\7688\7688_112187_000021_000000_000156.wav,real,7688,0,5.62,LibriTTS,7688_112187_000021_000000
train\real\LibriTTS\7688\7688_112187_000021_000000_000157.wav,real,7688,0,5.023,LibriTTS,7688_112187_000021_000000
train\real\LibriTTS\5007\5007_31603_000004_000003_000158.wav,real,5007,0,7.39,LibriTTS,5007_31603_000004_000003
train\real\LibriTTS\2758\2758_86039_000008_000000_000159.wav,real,2758,0,9.426,LibriTTS,2758_86039_000008_000000
train\real\LibriTTS\3967\3967_29012_000003_000010_000160.wav,real,3967,0,7.274,LibriTTS,3967_29012_000003_000010
train\real\LibriTTS\3967\3967_29012_000003_000010_000161.wav,real,3967,0,9.704,LibriTTS,3967_29012_000003_000010
train\real\LibriTTS\3967\3967_29012_000003_000010_000162.wav,real,3967,0,5.33,LibriTTS,3967_29012_000003_000010
train\real\LibriTTS\100\100_121669_000027_000000_000163.wav,real,100,0,5.228,LibriTTS,100_121669_000027_000000
train\real\LibriTTS\7030\7030_64588_000017_000003_000164.wav,real,7030,0,8.575,LibriTTS,7030_64588_000017_000003
train\real\LibriTTS\207\207_131203_000007_000000_000165.wav,real,207,0,5.037,LibriTTS,207_131203_000007_000000
train\real\LibriTTS\8183\8183_118119_000002_000001_000166.wav,real,8183,0,5.653,LibriTTS,8183_118119_000002_000001
train\real\LibriTTS\4837\4837_302000_000002_000007_000167.wav,real,4837,0,7.723,LibriTTS,4837_302000_000002_000007
train\real\LibriTTS\6510\6510_62558_000086_000002_000168.wav,real,6510,0,9.755,LibriTTS,6510_62558_000086_000002
train\real\LibriTTS\6510\6510_62558_000086_000002_000169.wav,real,6510,0,6.577,LibriTTS,6510_62558_000086_000002
train\real\LibriTTS\1265\1265_135636_000080_000004_000170.wav,real,1265,0,5.477,LibriTTS,1265_135636_000080_000004
train\real\LibriTTS\5401\5401_39508_000003_000001_000171.wav,real,5401,0,6.384,LibriTTS,5401_39508_000003_000001
train\real\LibriTTS\5935\5935_55927_000025_000002_000172.wav,real,5935,0,5.452,LibriTTS,5935_55927_000025_000002
train\real\LibriTTS\5093\5093_29101_000017_000000_000173.wav,real,5093,0,8.98,LibriTTS,5093_29101_000017_000000
train\real\LibriTTS\7688\7688_112187_000041_000001_000174.wav,real,7688,0,6.416,LibriTTS,7688_112187_000041_000001
train\real\LibriTTS\3728\3728_105386_000002_000001_000175.wav,real,3728,0,7.418,LibriTTS,3728_105386_000002_000001
train\real\LibriTTS\8080\8080_274558_000007_000000_000176.wav,real,8080,0,9.669,LibriTTS,8080_274558_000007_000000
train\real\LibriTTS\8494\8494_244431_000023_000001_000177.wav,real,8494,0,6.545,LibriTTS,8494_244431_000023_000001
train\real\LibriTTS\4110\4110_11533_000037_000002_000178.wav,real,4110,0,6.362,LibriTTS,4110_11533_000037_000002
train\real\LibriTTS\5604\5604_26982_000007_000002_000179.wav,real,5604,0,8.342,LibriTTS,5604_26982_000007_000002
train\real\LibriTTS\3551\3551_7894_000076_000002_000180.wav,real,3551,0,5.151,LibriTTS,3551_7894_000076_000002
train\real\LibriTTS\500\500_125123_000112_000004_000181.wav,real,500,0,6.813,LibriTTS,500_125123_000112_000004
train\real\LibriTTS\1053\1053_289242_000063_000000_000182.wav,real,1053,0,5.107,LibriTTS,1053_289242_000063_000000
train\real\LibriTTS\2787\2787_157400_000071_000001_000183.wav,real,2787,0,6.478,LibriTTS,2787_157400_000071_000001
train\real\LibriTTS\3717\3717_21498_000027_000000_000184.wav,real,3717,0,5.879,LibriTTS,3717_21498_000027_000000
train\real\LibriTTS\3717\3717_21498_000027_000000_000185.wav,real,3717,0,8.977,LibriTTS,3717_21498_000027_000000
train\real\LibriTTS\3717\3717_21498_000027_000000_000186.wav,real,3717,0,5.284,LibriTTS,3717_21498_000027_000000
train\real\LibriTTS\2787\2787_157400_000075_000002_000187.wav,real,2787,0,8.34,LibriTTS,2787_157400_000075_000002
train\real\LibriTTS\93\93_126208_000014_000002_000188.wav,real,93,0,5.123,LibriTTS,93_126208_000014_000002
train\real\LibriTTS\93\93_126208_000014_000002_000189.wav,real,93,0,5.189,LibriTTS,93_126208_000014_000002
train\real\LibriTTS\2688\2688_144986_000095_000001_000190.wav,real,2688,0,5.071,LibriTTS,2688_144986_000095_000001
train\real\LibriTTS\2992\2992_164101_000011_000000_000191.wav,real,2992,0,8.091,LibriTTS,2992_164101_000011_000000
train\real\LibriTTS\2427\2427_154671_000017_000001_000192.wav,real,2427,0,5.027,LibriTTS,2427_154671_000017_000001
train\real\LibriTTS\3361\3361_1133_000015_000001_000193.wav,real,3361,0,8.922,LibriTTS,3361_1133_000015_000001
train\real\LibriTTS\5400\5400_34478_000018_000001_000194.wav,real,5400,0,5.137,LibriTTS,5400_34478_000018_000001
train\real\LibriTTS\5918\5918_46890_000084_000000_000195.wav,real,5918,0,5.953,LibriTTS,5918_46890_000084_000000
train\real\LibriTTS\7117\7117_86710_000013_000000_000196.wav,real,7117,0,6.021,LibriTTS,7117_86710_000013_000000
train\real\LibriTTS\1335\1335_27593_000031_000004_000197.wav,real,1335,0,5.967,LibriTTS,1335_27593_000031_000004
train\real\LibriTTS\4899\4899_32658_000005_000001_000198.wav,real,4899,0,6.847,LibriTTS,4899_32658_000005_000001
train\real\LibriTTS\16\16_122827_000020_000002_000199.wav,real,16,0,9.275,LibriTTS,16_122827_000020_000002
train\real\LibriTTS\1827\1827_143625_000029_000005_000200.wav,real,1827,0,9.211,LibriTTS,1827_143625_000029_000005
train\real\LibriTTS\1827\1827_143625_000029_000005_000201.wav,real,1827,0,6.594,LibriTTS,1827_143625_000029_000005
train\real\LibriTTS\1752\1752_16632_000063_000001_000202.wav,real,1752,0,7.51,LibriTTS,1752_16632_000063_000001
train\real\LibriTTS\6269\6269_66176_000029_000003_000203.wav,real,6269,0,6.92,LibriTTS,6269_66176_000029_000003
train\real\LibriTTS\3008\3008_164327_000071_000000_000204.wav,real,3008,0,5.346,LibriTTS,3008_164327_000071_000000
train\real\LibriTTS\922\922_132299_000015_000001_000205.wav,real,922,0,6.401,LibriTTS,922_132299_000015_000001
train\real\LibriTTS\3549\3549_173591_000014_000016_000206.wav,real,3549,0,7.673,LibriTTS,3549_173591_000014_000016
train\real\LibriTTS\3549\3549_173591_000014_000016_000207.wav,real,3549,0,5.054,LibriTTS,3549_173591_000014_000016
train\real\LibriTTS\7030\7030_64588_000006_000003_000208.wav,real,7030,0,7.292,LibriTTS,7030_64588_000006_000003
train\real\LibriTTS\2045\2045_158081_000010_000005_000209.wav,real,2045,0,6.176,LibriTTS,2045_158081_000010_000005
train\real\LibriTTS\3258\3258_169291_000012_000002_000210.wav,real,3258,0,5.256,LibriTTS,3258_169291_000012_000002
train\real\LibriTTS\3258\3258_169291_000012_000002_000211.wav,real,3258,0,5.278,LibriTTS,3258_169291_000012_000002
train\real\LibriTTS\7732\7732_107517_000011_000004_000212.wav,real,7732,0,6.473,LibriTTS,7732_107517_000011_000004
train\real\LibriTTS\7732\7732_107517_000011_000004_000213.wav,real,7732,0,7.097,LibriTTS,7732_107517_000011_000004
train\real\LibriTTS\718\718_129597_000044_000004_000214.wav,real,718,0,5.247,LibriTTS,718_129597_000044_000004
train\real\LibriTTS\6544\6544_231862_000004_000002_000215.wav,real,6544,0,5.758,LibriTTS,6544_231862_000004_000002
train\real\LibriTTS\8113\8113_301694_000013_000007_000216.wav,real,8113,0,6.289,LibriTTS,8113_301694_000013_000007
train\real\LibriTTS\4519\4519_6171_000004_000003_000217.wav,real,4519,0,8.026,LibriTTS,4519_6171_000004_000003
train\real\LibriTTS\8824\8824_279153_000010_000007_000218.wav,real,8824,0,5.807,LibriTTS,8824_279153_000010_000007
train\real\LibriTTS\8824\8824_279153_000010_000007_000219.wav,real,8824,0,8.946,LibriTTS,8824_279153_000010_000007
train\real\LibriTTS\4236\4236_8927_000033_000001_000220.wav,real,4236,0,9.889,LibriTTS,4236_8927_000033_000001
train\real\LibriTTS\6727\6727_10344_000004_000001_000221.wav,real,6727,0,5.516,LibriTTS,6727_10344_000004_000001
train\real\LibriTTS\2156\2156_82458_000036_000001_000222.wav,real,2156,0,5.944,LibriTTS,2156_82458_000036_000001
train\real\LibriTTS\1195\1195_130164_000032_000004_000223.wav,real,1195,0,5.871,LibriTTS,1195_130164_000032_000004
train\real\LibriTTS\8459\8459_285137_000034_000000_000224.wav,real,8459,0,9.884,LibriTTS,8459_285137_000034_000000
train\real\LibriTTS\258\258_121528_000006_000001_000225.wav,real,258,0,7.394,LibriTTS,258_121528_000006_000001
train\real\LibriTTS\4098\4098_11547_000020_000010_000226.wav,real,4098,0,7.006,LibriTTS,4098_11547_000020_000010
train\real\LibriTTS\369\369_125883_000011_000000_000227.wav,real,369,0,6.317,LibriTTS,369_125883_000011_000000
